capital_prestado,plazo_meses,edad_cliente,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,carga_financiera,ratio_cuota_ingreso,saldo_mora_ratio,total_creditos_sector,mes_prestamo,tipo_laboral,tipo_credito,tendencia_ingresos,tiene_codeudor_en_mora
1920961.2,6,31,2000000.0,200000,286734,811.0,1,3,0.0,0.0,0.0,0.0,1,0,0,2091000.0,0.099999950000025,0.14336692831653583,0.0,1,6,Empleado,4,Creciente,0
3472695.6,36,47,1800000.0,150000,112406,780.0,0,1,0.0,0.0,,,0,0,0,1471199.0,0.08333328703706276,0.06244774308458718,0.0,0,11,Empleado,4,,0
3974400.0,36,30,1400000.0,168000,137290,767.0,11,8,0.0,11314.0,11314.0,0.0,4,0,2,1236666.0,0.11999991428577551,0.09806421566841737,0.0,6,7,Independiente,4,Decreciente,0
8234880.0,24,42,11500000.0,180000,361929,762.0,8,5,0.0,276003.0,46190.0,0.0,4,0,1,11499979.0,0.015652172551984995,0.031472084219818765,0.0,5,4,Empleado,4,Decreciente,0
1235881.2,10,41,2000000.0,600000,114364,768.0,8,3,0.0,18527.0,18527.0,0.0,5,0,3,2670555.0,0.299999850000075,0.05718197140901429,0.0,8,2,Empleado,4,Creciente,0
1052140.8,6,40,1500000.0,900000,158161,805.0,5,2,0.0,3579.0,3579.0,0.0,1,1,1,,0.5999996000002666,0.10544059637293575,0.0,3,6,Independiente,4,,0
586680.0,8,23,5000000.0,2000000,61136,711.0,10,10,0.0,36837.0,36837.0,0.0,4,0,3,983250.0,0.399999920000016,0.012227197554560488,0.0,7,2,Independiente,9,Estable,0
1200000.0,6,39,2720000.0,1300000,182777,832.0,2,6,0.0,46022.0,0.0,0.0,1,0,1,766666.0,0.47794100075698503,0.06719740176566112,0.0,2,10,Empleado,4,Creciente,0
1540207.2,11,55,3000000.0,2500000,120928,883.0,5,6,0.0,17953.0,119.0,0.0,3,1,1,1284518.0,0.8333330555556482,0.04030931989689337,0.0,5,12,Independiente,9,Creciente,0
636000.0,6,37,2800000.0,1000000,94784,783.0,3,2,0.0,550.0,550.0,0.0,1,0,0,600000.0,0.3571427295918823,0.03385141648163697,0.0,1,5,Independiente,4,Estable,0
1068961.2,6,65,3500000.0,2000000,148467,806.0,5,3,0.0,43843.0,43843.0,0.0,4,0,0,3449815.0,0.571428408163312,0.04241913073739122,0.0,4,1,Empleado,4,Creciente,0
1381728.0,11,53,4000000.0,3000000,116850,823.0,0,2,0.0,0.0,,,0,0,0,908526.0,0.7499998125000469,0.029212492696876827,0.0,0,12,Independiente,9,Estable,0
2509897.2,2,41,1000000.0,4482000,993266,844.0,7,3,0.0,78824.0,78824.0,0.0,6,0,1,966736.0,4.481995518004482,0.9932650067349933,0.0,7,8,Independiente,9,Creciente,0
1604400.0,2,44,4000000.0,2000000,632417,802.0,11,7,0.0,173161.0,173161.0,0.0,4,1,3,916148.0,0.49999987500003124,0.15810421047394738,0.0,8,2,Independiente,9,Creciente,0
